ID,Year_Birth,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Age,Family_size,Total_Spend,Total_Purchases
7224,1977,2,31353,1,1,24,10,0,10,3,1,7,2,1,1,2,8,48,4,31,6
1030,1965,3,40637,1,1,72,22,0,13,0,0,3,2,1,0,3,7,60,3,38,6
624,1984,3,18890,0,0,5,6,4,1,7,2,15,1,0,1,2,6,41,1,35,4
5176,1988,4,29604,1,0,88,7,6,13,7,6,14,1,1,0,3,9,37,3,53,5
868,1966,2,44794,0,1,99,54,0,7,0,0,4,1,2,0,3,6,59,3,65,6
7264,1978,3,52195,2,1,2,12,0,4,0,0,1,1,1,0,2,8,47,4,17,4
1755,1988,4,45204,1,0,93,30,11,25,29,1,18,1,1,1,4,3,37,3,114,7
9076,1980,2,30732,1,0,44,155,1,25,0,1,3,4,4,1,4,8,45,3,185,13
4653,1978,4,42011,1,0,46,131,0,16,2,1,39,4,3,1,4,8,47,3,189,12
3726,1986,4,34320,1,0,66,4,1,9,3,0,0,1,1,0,2,8,39,3,17,4
1606,1971,4,38590,1,0,65,3,1,8,4,3,3,1,1,0,2,8,54,3,22,4
9617,1951,3,15033,0,0,37,0,4,5,6,0,4,1,1,0,3,3,74,1,19,5
89,1975,2,22212,1,0,49,5,9,20,6,8,21,2,2,0,4,6,50,3,69,8
2936,1982,4,23661,1,0,46,18,0,4,0,0,1,1,1,0,3,7,43,3,23,5
7297,1973,3,7500,1,0,54,5,3,10,12,7,20,4,3,1,3,7,52,2,57,11
10735,1971,3,22804,1,0,75,14,1,7,2,1,1,1,2,0,2,9,54,2,26,5
7411,1964,2,31686,1,1,31,11,0,5,0,0,1,2,1,0,3,6,61,4,17,6
10236,1975,3,31160,1,0,59,16,3,25,6,1,13,2,2,0,3,8,50,2,64,7
6340,1985,3,29938,1,0,52,3,3,7,0,2,11,2,1,0,3,6,40,2,26,6
2227,1958,4,26490,0,0,92,45,47,52,21,20,25,2,3,1,5,6,67,2,210,11
5304,1974,3,30899,1,0,35,24,0,8,0,0,1,2,1,0,3,6,51,2,33,6
2661,1964,3,18701,1,1,95,12,4,2,10,6,10,4,2,0,4,5,61,3,44,10
3153,1957,3,40737,2,1,24,11,0,4,0,0,2,1,1,0,2,8,68,4,17,4
10264,1979,1,15287,1,0,60,1,2,8,4,3,13,2,1,1,2,7,46,2,31,6
9396,1978,2,37717,1,0,31,9,0,6,4,1,5,1,1,0,2,9,47,3,25,4
6690,1966,2,38179,1,1,30,38,4,22,4,2,20,4,3,1,3,7,59,4,90,11
9703,1970,2,38097,1,1,70,77,2,35,0,1,69,4,3,2,2,7,55,4,184,11
4557,1970,4,22070,1,0,11,10,7,19,8,2,21,2,2,2,2,6,55,3,67,8
5726,1983,3,31788,1,0,15,16,7,23,0,8,6,3,3,0,4,5,42,2,60,10
3066,1975,4,61905,0,1,2,167,0,43,6,2,13,2,4,2,4,5,50,3,231,12
6336,1960,2,29315,1,1,55,13,2,14,8,7,4,4,2,0,4,6,65,4,48,10
10967,1963,1,33378,1,1,38,33,6,40,3,7,10,3,2,0,4,7,62,3,99,9
4669,1981,2,24480,1,0,46,4,19,9,28,25,17,3,3,0,4,7,44,3,102,10
8962,1975,2,44319,1,1,18,26,0,8,0,0,3,2,2,0,3,5,50,4,37,7
9974,1974,2,30631,1,0,75,15,6,20,4,5,20,1,3,1,2,7,51,3,70,7
9262,1984,4,32414,0,0,11,20,6,5,0,9,12,1,1,0,3,7,41,2,52,5
7254,1969,4,38361,1,0,74,39,0,56,20,8,14,3,3,1,3,7,56,3,137,10
4927,1971,4,16626,2,0,76,8,3,22,21,1,13,3,3,0,3,9,54,4,68,9
10451,1965,4,29672,1,1,6,9,1,3,0,4,8,1,0,0,3,6,60,4,25,4
2874,1988,1,35388,1,0,20,6,4,7,4,3,8,1,1,0,3,7,37,2,32,5
9738,1986,4,42386,1,0,43,65,4,16,0,4,11,1,3,0,3,8,39,3,100,7
5827,1958,1,35246,1,1,53,36,0,12,2,2,10,4,3,1,3,5,67,3,62,11
10812,1978,2,46377,1,0,89,37,0,46,4,3,0,1,2,1,3,4,47,3,90,7
9491,1984,4,23976,1,0,68,14,1,21,2,3,25,3,3,1,3,7,41,3,66,10
6609,1966,5,27038,0,0,64,1,26,25,17,23,15,1,3,0,3,9,59,1,107,7
1379,1992,4,42670,0,0,12,154,2,46,20,4,15,1,4,2,4,4,33,2,241,11
10032,1976,1,12571,1,0,86,3,5,14,2,12,17,4,3,1,3,6,49,2,53,11
231,1956,4,28839,1,1,86,24,0,7,0,0,1,2,2,0,3,5,69,4,32,7
2392,1972,2,40321,1,1,59,44,4,21,6,0,27,2,3,0,3,7,53,4,102,8
113,1951,2,30833,1,1,33,11,0,7,3,1,6,2,1,0,3,5,74,4,28,6
520,1974,2,34421,1,0,81,3,3,7,6,2,9,1,1,0,2,7,51,3,30,4
8275,1965,1,47025,1,1,6,16,0,3,0,0,1,1,1,0,2,7,60,3,20,4
5835,1976,1,14849,1,0,39,21,2,28,3,2,9,3,2,0,4,8,49,2,65,9
3896,1984,2,27255,1,0,3,22,1,11,0,1,2,1,1,0,3,7,41,3,37,5
7786,1986,3,29999,1,0,22,68,7,59,10,5,11,4,3,1,4,8,39,2,160,12
2861,1983,3,24072,1,0,79,9,1,6,3,0,4,1,1,0,2,8,42,2,23,4
663,1989,3,33996,0,0,46,40,2,15,8,0,6,1,1,1,3,4,36,1,71,6
2521,1971,2,35178,1,0,10,23,1,13,2,2,18,1,1,1,2,7,54,3,59,5
9592,1983,4,22010,1,0,51,11,2,9,3,0,8,2,2,0,3,8,42,3,33,7
4099,1972,2,30675,1,0,14,10,2,16,11,2,21,1,1,0,3,8,53,3,62,5
11191,1986,1,41411,0,0,11,37,32,38,11,3,18,1,2,1,4,6,39,1,139,8
8234,1973,4,27190,1,0,13,1,6,7,0,1,3,1,1,0,2,8,52,3,18,4
8553,1965,2,44300,1,1,65,30,0,9,0,0,3,2,1,0,3,6,60,4,42,6
8842,1971,5,30372,1,1,33,15,0,12,7,3,7,3,2,0,3,7,54,3,44,8
11030,1976,2,33181,1,0,90,9,0,3,0,0,4,1,1,0,2,6,49,3,16,4
6201,1978,3,38643,1,1,45,22,2,14,0,1,10,2,2,0,3,7,47,3,49,7
2061,1955,2,50737,0,1,61,78,0,11,0,0,10,1,2,0,4,6,70,3,99,7
2958,1978,2,28442,2,0,53,19,3,10,11,8,6,3,2,1,4,4,47,4,57,10
933,1978,2,37717,1,0,31,9,0,6,4,1,5,1,1,0,2,9,47,3,25,4
4432,1976,1,31615,1,0,82,2,3,20,6,11,9,2,2,0,3,7,49,2,51,7
5680,1984,2,35684,1,0,66,10,4,7,0,6,3,1,1,0,3,6,41,3,30,5
2557,1970,3,29548,1,0,52,7,1,6,3,1,11,1,1,1,2,4,55,2,29,5
1519,1972,3,38578,1,1,2,38,4,22,3,3,3,3,3,0,3,8,53,3,73,9
10703,1975,3,46098,1,1,86,57,0,27,0,0,36,4,3,2,2,8,50,3,120,11
1726,1970,3,22585,0,0,23,3,9,15,13,2,39,1,1,1,2,9,55,1,81,5
4459,1989,3,30279,1,0,13,10,4,14,4,4,1,1,1,0,3,8,36,2,37,5
1517,1969,3,30822,1,0,92,3,9,13,2,12,12,1,1,0,3,7,56,2,51,5
2098,1969,2,33581,2,0,38,11,0,5,0,0,1,1,1,0,2,8,56,4,17,4
9543,1985,2,19986,1,0,74,3,6,5,0,2,6,1,0,0,3,7,40,3,22,4
2724,1981,3,36143,1,0,33,12,0,1,0,0,6,1,0,1,2,3,44,2,19,4
948,1971,3,10245,1,0,32,4,7,7,6,4,13,3,1,2,2,5,54,2,41,8
2066,1949,4,38823,0,1,56,70,0,11,2,8,23,1,2,1,3,6,76,3,114,7
455,1946,2,51012,0,0,86,102,9,63,2,9,24,1,4,1,4,6,79,2,209,10
7414,1971,2,43824,1,1,18,96,1,42,12,3,32,4,3,1,4,8,54,4,186,12
6354,1984,4,15345,1,0,51,5,2,16,3,2,19,2,1,1,2,8,41,3,47,6
798,1987,3,23442,1,0,71,2,0,6,8,6,5,1,1,0,3,7,38,2,27,5
2488,1956,1,31395,1,1,80,23,1,25,0,8,7,4,2,1,3,6,69,3,64,10
7617,1974,3,42373,1,1,83,67,5,61,3,8,19,5,2,1,5,5,51,3,163,13
194,1965,2,48006,1,1,55,23,0,11,3,2,2,1,1,0,3,6,60,4,41,5
3645,1972,3,27213,1,0,19,19,3,26,10,9,3,3,2,0,4,8,53,2,70,9
5049,1974,4,30351,1,0,19,14,0,24,3,3,2,1,3,0,2,9,51,3,46,6
7301,1982,3,23616,1,0,76,4,22,11,3,7,32,2,3,0,3,8,43,2,79,8
6504,1975,4,19789,1,0,24,2,5,9,28,6,28,3,2,1,3,5,50,3,78,9
5929,1973,2,37401,1,0,14,19,3,19,3,1,3,2,2,0,3,7,52,3,48,7
3129,1983,2,30096,1,0,30,5,3,11,12,5,9,1,2,0,3,6,42,3,45,6
6528,1982,4,18492,1,0,75,2,2,2,2,1,1,1,1,0,2,8,43,3,10,4
5987,1989,4,10404,1,0,52,2,2,11,10,6,12,2,1,0,4,5,36,3,43,7
498,1970,3,30015,1,0,28,25,0,22,2,3,5,2,1,0,4,5,55,2,57,7
9347,1956,4,50943,0,1,49,31,0,7,2,0,6,1,1,0,3,5,69,3,46,5
5455,1971,2,32011,1,0,89,99,0,15,2,1,5,3,2,1,4,7,54,3,122,10
456,1986,2,7500,1,0,96,1,11,5,4,6,9,2,2,0,3,8,39,3,36,7
5012,1989,2,28691,1,0,56,5,4,13,8,0,4,1,1,0,3,8,36,3,34,5
7495,1948,2,56223,0,1,72,77,28,31,16,0,4,2,2,1,5,4,77,3,156,10
5029,1946,2,18100,0,0,14,3,1,2,4,3,1,1,0,0,3,5,79,2,14,4
10642,1989,3,30279,1,0,13,10,4,14,4,4,1,1,1,0,3,8,36,2,37,5
2106,1974,2,20130,0,0,99,0,6,3,7,6,12,1,1,0,3,8,51,2,34,5
10364,1959,1,23295,0,0,72,0,0,1,2,12,5,1,1,0,2,8,66,1,20,4
5954,1972,1,42618,1,0,92,76,14,74,13,5,10,2,5,0,4,8,53,2,192,11
2541,1976,2,24027,1,0,7,14,7,11,11,0,5,2,2,0,3,8,49,3,48,7
6471,1971,3,36230,1,0,17,14,2,30,8,2,3,1,2,0,4,5,54,2,59,7
8594,1958,5,50520,0,1,25,112,0,6,2,1,14,2,3,1,3,6,67,2,135,9
2815,1975,2,33183,1,0,46,7,5,39,17,15,37,2,4,0,3,7,50,3,120,9
9213,1970,5,31880,1,0,13,4,1,5,2,0,3,1,1,0,2,8,55,2,15,4
1581,1980,2,37406,1,0,18,2,0,8,2,2,3,1,1,0,2,8,45,3,17,4
6619,1978,2,38415,1,1,91,22,1,13,4,0,4,2,1,0,3,7,47,4,44,6
9081,1988,3,20518,1,0,58,4,1,6,4,1,9,1,1,1,2,5,37,2,25,5
916,1972,3,41644,1,1,67,20,3,4,2,0,2,2,1,0,3,3,53,3,31,6
5300,1973,2,38961,1,0,60,19,7,19,0,1,24,1,2,1,2,7,52,3,70,6
5154,1972,1,37760,1,0,54,26,3,13,2,10,0,1,2,0,3,6,53,2,54,6
3436,1969,2,14045,1,0,24,11,0,5,2,1,1,1,1,0,3,7,56,3,20,5
8737,1978,1,55563,0,1,22,29,1,9,2,0,2,1,2,0,3,3,47,2,43,6
9135,1950,4,27203,1,1,92,13,2,21,4,0,24,2,1,1,2,8,75,4,64,6
10623,1961,4,48330,0,1,2,28,0,4,0,0,0,1,1,0,3,5,64,3,32,5
10160,1956,4,50943,0,1,49,31,0,7,2,0,6,1,1,0,3,5,69,3,46,5
3386,1992,2,34935,0,0,71,34,4,66,3,10,20,1,2,1,4,7,33,2,137,8
9925,1981,4,39665,1,0,97,127,1,56,0,1,31,3,4,2,3,7,44,3,216,12
11025,1961,2,36443,1,1,9,65,0,46,4,3,20,4,3,1,3,8,64,4,138,11
10203,1990,3,26095,1,0,77,11,7,9,3,1,11,1,1,0,3,7,35,2,42,5
3696,1965,1,30630,1,1,67,27,1,12,2,0,10,2,2,0,3,7,60,3,52,7
2258,1986,2,32880,1,0,76,8,4,15,7,6,2,1,1,0,3,8,39,3,42,5
8724,1982,3,28567,1,0,57,11,3,22,2,2,6,2,2,0,3,6,43,2,46,7
1991,1967,4,44931,0,1,0,78,0,11,0,0,7,1,2,1,3,5,58,3,96,7
304,1981,3,22944,1,0,67,19,3,19,4,5,26,3,3,0,3,7,44,2,76,9
3665,1977,4,25315,1,0,46,1,9,8,11,3,22,3,3,0,3,8,48,3,54,9
10591,1969,5,43638,0,1,37,63,10,83,7,19,19,2,4,1,4,7,56,2,201,11
8541,1990,2,24683,1,0,98,8,4,10,6,7,6,2,2,0,4,5,35,3,41,8
4368,1980,2,47850,1,0,72,42,7,43,20,12,10,1,3,0,4,6,45,3,134,8
9671,1968,2,19514,1,1,47,14,3,21,2,1,28,4,3,1,2,8,57,4,69,10
2256,1973,2,27159,1,1,33,17,0,3,0,0,1,2,1,0,3,6,52,4,21,6
4279,1963,3,39548,1,1,87,15,4,10,3,4,18,2,1,1,3,3,62,3,54,7
5371,1989,3,21474,1,0,0,6,16,24,11,0,34,2,3,1,2,7,36,2,91,8
9460,1963,2,22419,0,0,74,30,3,47,19,21,42,1,3,2,2,8,62,2,162,8
8420,1970,2,15315,0,0,27,7,4,13,15,8,17,2,2,0,4,5,55,2,64,8
7685,1978,2,33039,1,0,4,30,8,12,8,8,12,1,2,0,4,5,47,3,78,7
891,1951,4,29298,1,1,60,6,0,2,2,0,1,1,1,0,2,5,74,4,11,4
10381,1979,3,47691,0,1,43,14,0,3,0,0,4,1,1,0,2,6,46,2,21,4
3525,1970,4,38200,1,1,19,12,0,4,0,0,1,1,1,0,2,7,55,4,17,4
3526,1968,2,38443,1,1,58,32,0,5,0,0,1,2,1,0,3,7,57,4,38,6
8181,1978,3,38593,1,0,42,51,12,49,17,24,24,3,4,1,3,8,47,2,177,11
7369,1981,2,36959,1,0,56,25,6,25,6,0,0,2,2,0,3,8,44,3,62,7
8159,1968,2,51287,1,1,10,117,0,22,13,0,30,3,4,1,3,7,57,4,182,11
1160,1970,2,13260,1,1,48,9,4,17,10,2,7,4,3,0,3,8,55,4,49,10
10242,1966,4,47472,1,1,39,56,0,11,0,0,8,2,2,0,4,5,59,4,75,8
5081,1967,4,47821,1,1,54,9,0,16,6,6,10,1,1,0,3,8,58,4,47,5
5123,1951,2,27450,0,0,57,37,12,23,8,11,52,1,2,1,3,7,74,2,143,7
5756,1983,4,39453,1,0,64,46,0,7,0,0,2,2,2,0,3,6,42,3,55,7
8036,1971,4,26850,1,1,10,31,1,13,7,2,9,4,2,1,4,4,54,4,63,11
4179,1959,4,24221,0,0,94,8,9,9,2,5,22,1,1,1,3,4,66,2,55,6
3710,1984,3,39684,1,0,41,19,0,35,6,4,17,2,2,1,2,7,41,2,81,7
6424,1977,4,33178,1,0,9,12,6,2,11,2,16,1,1,0,3,4,48,3,49,5
4992,1975,4,17459,1,0,12,6,4,16,3,10,30,3,3,1,2,7,50,3,69,9
5252,1969,1,23910,1,0,80,16,12,18,7,1,13,1,2,0,3,7,56,2,67,6
7444,1969,2,42169,1,1,20,19,0,9,0,0,2,2,1,0,3,8,56,4,30,6
6919,1978,2,26224,1,0,39,4,7,15,13,9,15,3,2,1,3,6,47,3,63,9
3537,1981,4,31089,1,0,57,31,3,31,2,8,4,3,3,0,4,8,44,3,79,10
10277,1961,3,30081,0,1,27,36,0,2,0,0,4,1,1,0,3,7,64,2,42,5
1177,1966,4,49618,1,1,77,80,3,26,4,2,14,4,3,1,3,7,59,4,129,11
7141,1986,3,21888,1,0,15,88,10,46,2,3,64,4,5,1,2,10,39,2,213,12
7232,1973,5,42429,0,1,99,55,0,6,2,0,4,2,1,1,3,5,52,2,67,7
8477,1956,1,26150,2,1,61,5,1,13,3,5,1,1,1,0,3,7,69,4,28,5
2457,1975,2,30801,0,1,23,8,4,5,15,2,11,2,1,0,3,7,50,3,45,6
6682,1973,2,18978,1,0,41,2,8,1,4,7,15,1,1,0,3,8,52,3,37,5
8953,1965,3,35791,2,1,94,27,0,5,0,0,3,2,1,0,3,8,60,4,35,6
8650,1978,5,54162,1,1,31,5,6,10,6,5,10,1,1,0,3,4,47,3,42,5
6941,1971,3,31632,0,0,92,17,8,12,11,15,32,1,2,1,2,7,54,1,95,6
10708,1978,3,36975,1,0,50,10,6,11,0,4,2,1,1,0,3,7,47,2,33,5
3641,1976,2,13624,1,0,93,10,2,15,2,1,6,2,2,0,3,6,49,3,36,7
3469,1977,1,34487,1,1,94,19,18,33,24,1,8,3,3,0,3,9,48,3,103,9
5063,1977,3,28769,1,0,76,41,5,129,10,3,3,3,4,1,4,9,48,2,191,12
4376,1960,3,32218,0,0,27,10,24,15,13,1,30,1,2,1,3,7,65,1,93,7
8461,1962,1,46102,2,1,3,14,0,1,0,0,1,1,1,0,2,7,63,4,16,4
6728,1985,4,29103,1,0,38,16,0,17,6,3,6,2,1,0,3,9,40,3,48,6
4725,1950,4,50616,0,1,71,30,2,25,0,1,9,1,1,1,4,2,75,3,67,7
2564,1953,4,61278,0,1,87,111,3,28,2,6,15,2,3,1,4,6,72,3,165,10
946,1958,4,26490,0,0,92,45,47,52,21,20,25,2,3,1,5,6,67,2,210,11
7093,1985,2,19986,1,0,74,3,6,5,0,2,6,1,0,0,3,7,40,3,22,4
1777,1980,2,25965,0,0,29,2,2,11,41,7,11,1,2,0,3,8,45,2,74,6
8162,1956,4,14661,0,0,88,4,1,11,6,2,2,1,1,0,3,6,69,2,26,5
10826,1959,2,18690,0,0,77,6,1,7,23,4,19,1,1,1,2,8,66,2,60,5
8754,1974,4,45068,0,1,25,14,0,3,0,0,3,1,1,0,2,7,51,3,20,4
1987,1987,3,21063,1,0,34,1,10,11,19,3,15,2,2,0,3,6,38,2,59,7
11007,1968,2,29187,1,0,43,26,0,6,0,0,2,1,1,0,3,8,57,3,34,5
7426,1971,2,54690,1,1,76,111,16,37,7,9,18,3,3,1,5,3,54,4,198,12
6961,1974,2,26751,2,0,26,1,1,5,0,3,1,1,1,0,2,8,51,4,11,4
8779,1985,2,36145,1,0,13,56,4,76,17,1,18,4,4,1,3,9,40,3,172,12
9316,1952,4,13084,0,0,29,2,0,7,3,7,10,1,1,0,3,6,73,2,29,5
6379,1949,5,47570,1,1,3,67,1,20,0,2,31,3,2,2,2,7,76,3,121,9
9239,1961,2,61923,0,2,94,92,4,18,3,3,6,1,2,1,4,3,64,4,126,8
8315,1995,3,34824,0,0,65,4,2,11,2,0,4,1,1,0,2,6,30,1,23,4
2868,1949,3,26518,1,1,33,20,1,28,3,3,2,3,2,0,3,8,76,3,57,8
968,1968,1,41335,1,0,24,112,19,21,16,14,5,3,4,1,4,7,57,2,187,12
4472,1970,1,35682,1,0,34,23,0,8,6,2,18,1,1,1,3,2,55,2,57,6
4301,1971,2,35178,1,0,10,23,1,13,2,2,18,1,1,1,2,7,54,3,59,5
1940,1986,2,25252,1,0,26,1,3,4,2,2,6,1,1,0,2,8,39,3,18,4
1388,1975,3,33249,1,0,11,6,10,21,19,14,42,2,2,1,3,6,50,2,112,8
6969,1982,4,50272,1,0,75,99,13,66,43,8,4,3,4,1,5,7,43,3,233,13
1715,1978,4,25851,1,0,45,9,4,18,7,5,5,2,2,0,3,7,47,3,48,7
1463,1958,3,45160,1,1,9,8,2,5,3,0,3,1,1,0,2,7,67,3,21,4
4329,1984,2,18988,1,0,43,6,0,6,2,1,1,2,1,0,3,7,41,3,16,6
4692,1976,2,7500,1,0,19,7,0,12,13,7,32,5,4,1,2,9,49,3,71,12
7212,1966,2,44794,0,1,99,54,0,7,0,0,4,1,2,0,3,6,59,3,65,6
5329,1949,1,35946,1,1,24,8,0,3,0,0,0,1,0,0,3,5,76,3,11,4
6516,1989,2,17487,1,0,37,0,0,1,7,4,6,1,1,0,2,7,36,3,18,4
7458,1956,4,34941,1,1,26,39,2,25,4,3,24,2,3,0,3,8,69,4,97,8
5237,1950,3,48767,1,2,79,28,1,21,3,0,10,3,2,1,3,5,75,4,63,9
7761,1978,4,38702,1,0,71,13,11,24,13,8,40,2,3,0,4,6,47,3,109,9
